station_id,station_name,full_station_name,station_number,station_type,latitude,longitude,status,county_name,sample_code,sample_date,sample_depth,sample_depth_units,parameter,result,reporting_limit,units,method_name
5713,SAN LUIS REY R UNDER,SAN LUIS REY R UNDER HWY 101 BR,X3108010,Surface Water,33.2036,-117.387,Review Status Unknown,San Diego,WDIS_0967844,1/19/1955 15:15,,Feet,Total Dissolved Solids,476,1,mg/L at 105 �,UnkH TDS
5715,SAN LUIS REY R 0.25 ,SAN LUIS REY R 0.25 MI AB HWY 101,X3108550,Surface Water,33.2067,-117.3848,Review Status Unknown,San Diego,WDIS_0967846,3/26/1954 14:00,,Feet,Total Dissolved Solids,9020,1,mg/L at 180 �,UnkH TDS
5716,SAN LUIS REY R A G S,SAN LUIS REY R A G S 0.5 MI E 101,X3110000,Surface Water,33.2111,-117.3775,Review Status Unknown,San Diego,WDIS_0967848,2/3/1958 10:00,,Feet,Total Dissolved Solids,222,1,mg/L at 180 �,"Std Method 10th Ed, TDS"
5716,SAN LUIS REY R A G S,SAN LUIS REY R A G S 0.5 MI E 101,X3110000,Surface Water,33.2111,-117.3775,Review Status Unknown,San Diego,WDIS_0967850,2/9/1962 17:00,,Feet,Total Dissolved Solids,380,1,mg/L at 180 �,UnkMod TDS
5720,PILGRAM C TRIB TO SA,PILGRAM C TRIB TO SAN LUIS REY R,X3112020,Surface Water,33.2436,-117.3489,Review Status Unknown,San Diego,WDIS_0967856,3/22/1958 00:00,,Feet,Total Dissolved Solids,140,1,mg/L at 180 �,UnkMod TDS
5721,SAN LUIS REY R TRIB-,SAN LUIS REY R TRIB-SMALL LK SW F,X3112110,Surface Water,33.2417,-117.3364,Review Status Unknown,San Diego,WDIS_0967858,11/27/1957 00:00,,Feet,Total Dissolved Solids,2210,1,mg/L at 105 �,UnkMod TDS
5732,SAN LUIS REY R NR BO,SAN LUIS REY R NR BONSALL,X3117500,Surface Water,33.255,-117.2489,Review Status Unknown,San Diego,WDIS_0967888,4/3/1951 00:00,,Feet,Total Dissolved Solids,757,1,mg/L at 105 �,UnkH TDS
5736,SAN LUIS REY R A BON,SAN LUIS REY R A BONSALL,X3123000,Surface Water,33.2881,-117.2225,Review Status Unknown,San Diego,WDIS_0967906,1/8/1949 00:00,,Feet,Total Dissolved Solids,613,1,mg/L at 105 �,UnkH TDS
5736,SAN LUIS REY R A BON,SAN LUIS REY R A BONSALL,X3123000,Surface Water,33.2881,-117.2225,Review Status Unknown,San Diego,WDIS_0967907,3/22/1958 00:00,,Feet,Total Dissolved Solids,300,1,mg/L at 180 �,"Std Method 10th Ed, TDS"
5736,SAN LUIS REY R A BON,SAN LUIS REY R A BONSALL,X3123000,Surface Water,33.2881,-117.2225,Review Status Unknown,San Diego,WDIS_0967908,3/28/1958 15:30,,Feet,Total Dissolved Solids,780,1,mg/L at 180 �,"Std Method 10th Ed, TDS"
5736,SAN LUIS REY R A BON,SAN LUIS REY R A BONSALL,X3123000,Surface Water,33.2881,-117.2225,Review Status Unknown,San Diego,WDIS_0967909,7/19/1958 20:10,,Feet,Total Dissolved Solids,691,1,mg/L at 180 �,UnkMod TDS
5740,SAN LUIS REY R A HWY,SAN LUIS REY R A HWY 395,X3125880,Surface Water,33.3217,-117.1609,Review Status Unknown,San Diego,WDIS_0967921,3/28/1958 15:00,,Feet,Total Dissolved Solids,325,1,mg/L at 180 �,"Std Method 10th Ed, TDS"
5740,SAN LUIS REY R A HWY,SAN LUIS REY R A HWY 395,X3125880,Surface Water,33.3217,-117.1609,Review Status Unknown,San Diego,WDIS_0967922,4/21/1958 17:30,,Feet,Total Dissolved Solids,418,1,mg/L at 180 �,UnkMod TDS
5741,SAN LUIS REY R A MON,SAN LUIS REY R A MONSERATE NARROW,X3130000,Surface Water,33.337,-117.1356,Review Status Unknown,San Diego,WDIS_0967923,1/8/1949 00:00,,Feet,Total Dissolved Solids,324,1,mg/L at 105 �,UnkH TDS
5741,SAN LUIS REY R A MON,SAN LUIS REY R A MONSERATE NARROW,X3130000,Surface Water,33.337,-117.1356,Review Status Unknown,San Diego,WDIS_0967925,4/3/1951 00:00,,Feet,Total Dissolved Solids,458,1,mg/L at 105 �,UnkH TDS
5741,SAN LUIS REY R A MON,SAN LUIS REY R A MONSERATE NARROW,X3130000,Surface Water,33.337,-117.1356,Review Status Unknown,San Diego,WDIS_0967924,10/21/1949 12:00,,Feet,Total Dissolved Solids,370,1,mg/L at 105 �,UnkH TDS
5742,SAN LUIS REY R XING ,SAN LUIS REY R XING A MONSERATE,X3130610,Surface Water,33.34,-117.1314,Review Status Unknown,San Diego,WDIS_0967933,5/2/1958 11:15,,Feet,Total Dissolved Solids,396,1,mg/L at 180 �,UnkMod TDS
5746,SAN LUIS REY R TRIB ,SAN LUIS REY R TRIB TO GOMEZ,X3133030,Surface Water,33.38,-117.0825,Review Status Unknown,San Diego,WDIS_0967937,3/22/1962 17:00,,Feet,Total Dissolved Solids,220,1,mg/L at 180 �,UnkMod TDS
5747,UNNAMED TRIB TO SAN ,UNNAMED TRIB TO SAN LUIS REY R,X3134010,Surface Water,33.3889,-117.0659,Review Status Unknown,San Diego,WDIS_0967938,5/5/1955 13:30,,Feet,Total Dissolved Solids,402,1,mg/L at 105 �,UnkH TDS
